strain	accession	site	reads	flu	ct	date
A/Kenya/Kilifi-003/2009	EPI_ISL_426138	Kilifi	"423,881"	"2,451"	28.05	08-Oct-09
A/Kenya/Kilifi-006/2009	EPI_ISL_426139	Kilifi	"438,231"	"107,871"	19.32	28-Nov-09
A/Kenya/Kilifi-008/2009	EPI_ISL_426140	Kilifi	"279,770"	"208,817"	25.88	13-Dec-09
A/Kenya/Kilifi-009/2009	EPI_ISL_426141	Kilifi	"428,592"	"199,634"	24.54	19-Dec-09
A/Kenya/Kilifi-011/2010	EPI_ISL_426142	Kilifi	"371,413"	"246,220"	11	27-Nov-10
A/Kenya/Kilifi-012/2010	EPI_ISL_426143	Kilifi	"488,230"	"168,169"	26.03	28-Nov-10
A/Kenya/Kilifi-013/2010	EPI_ISL_426144	Kilifi	"409,491"	"241,507"	22.43	13-Dec-10
A/Kenya/Kilifi-014/2010	EPI_ISL_426145	Kilifi	"409,979"	"384,582"	24.59	28-Dec-10
A/Kenya/Kilifi-016/2011	EPI_ISL_426146	Kilifi	"395,668"	"154,687"	27.13	07-Jan-11
A/Kenya/Kilifi-018/2011	EPI_ISL_426147	Kilifi	"293,831"	"54,740"	28.38	27-Jan-11
A/Kenya/Kilifi-020/2011	EPI_ISL_426148	Kilifi	"500,005"	"434,901"	25.89	10-Feb-11
A/Kenya/Kilifi-021/2011	EPI_ISL_426149	Kilifi	"555,193"	"431,908"	14.92	27-Feb-11
A/Kenya/Kilifi-022/2011	EPI_ISL_426150	Kilifi	"491,438"	"468,136"	18.13	22-May-11
A/Kenya/Kilifi-023/2011	EPI_ISL_426151	Kilifi	"464,710"	"445,000"	20.68	29-Jun-11
A/Kenya/Kilifi-029/2011	EPI_ISL_426152	Kilifi	"449,861"	"228,672"	26.75	27-Nov-11
A/Kenya/Kilifi-039/2015	EPI_ISL_426153	Kilifi	"305,288"	"279,529"	25.87	05-Aug-15
A/Kenya/Kilifi-040/2015	EPI_ISL_426154	Kilifi	"427,875"	"409,540"	23.79	19-Aug-15
A/Kenya/Kilifi-041/2015	EPI_ISL_426155	Kilifi	"439,401"	"335,471"	27.2	18-Sep-15
A/Kenya/Kilifi-043/2015	EPI_ISL_426156	Kilifi	"423,787"	"414,836"	23.75	20-Sep-15
A/Kenya/Kilifi-045/2015	EPI_ISL_426157	Kilifi	"391,429"	"358,412"	27.05	15-Oct-15
A/Kenya/Kilifi-047/2015	EPI_ISL_426158	Kilifi	"486,930"	"443,085"	26.19	21-Nov-15
A/Kenya/Kilifi-049/2015	EPI_ISL_426162	Kilifi	"162,385"	"102,979"	26.68	25-Nov-15
A/Kenya/Kilifi-127/2013	EPI_ISL_426165	Kilifi	"297,138"	"283,777"	22.98	10-May-13
A/Kenya/Kilifi-128/2013	EPI_ISL_426170	Kilifi	"364,175"	"357,104"	24.1	26-Sep-13
A/Kenya/Kilifi-134/2011	EPI_ISL_426172	Kilifi	"387,443"	"291,248"	26.07	02-May-11
A/Kenya/Kilifi-137/2015	EPI_ISL_426174	Kilifi	"448,709"	"38,958"	27.04	20-Aug-15
A/Kenya/Kilifi-139/2015	EPI_ISL_426175	Kilifi	"638,407"	"587,473"	26.65	01-Sep-15
A/Kenya/Kilifi-150/2014	EPI_ISL_426176	Kilifi	"497,822"	"399,792"	29.2	17-May-14
A/Kenya/Kilifi-151/2014	EPI_ISL_426177	Kilifi	"504,501"	"24,404"	30.05	27-May-14
A/Kenya/Kilifi-153/2014	EPI_ISL_426178	Kilifi	"645,749"	"424,306"	31.67	19-Jun-14
A/Kenya/Kilifi-001/2018	EPI_ISL_426329	Kilifi	"304,202"	"294,730"	24	12-Mar-18
A/Kenya/Kilifi-002/2018	EPI_ISL_426330	Kilifi	"307,214"	"255,618"	29	24-Mar-18
A/Kenya/Kilifi-003/2018	EPI_ISL_426331	Kilifi	"500,713"	"429,745"	29	26-Mar-18
A/Kenya/Kilifi-004/2018	EPI_ISL_426332	Kilifi	"356,989"	"131,635"	29	13-Apr-18
A/Kenya/Kilifi-005/2018	EPI_ISL_426333	Kilifi	"642,691"	"626,636"	28	14-Apr-18
A/Kenya/Kilifi-007/2018	EPI_ISL_426334	Kilifi	"806,889"	"758,634"	24	24-May-18
A/Kenya/Kilifi-008/2018	EPI_ISL_426335	Kilifi	"685,440"	"672,524"	25	30-Jun-18
A/Kenya/Kilifi-009/2018	EPI_ISL_426336	Kilifi	"256,841"	"247,577"	25	08-Jul-18
A/Kenya/Kilifi-010/2018	EPI_ISL_426337	Kilifi	"278,113"	"97,139"	34	17-Jul-18
A/Kenya/CDC-Mombasa-002/2018	EPI_ISL_429838 	Mombasa	"365,933"	"268,588"	29.1	16-Apr-18
